Series,Episode,Episode Title,Scene,Speaker,Dialogue
Series 01,Episode 07,The Dumpling Paradox,"The following morning. Sheldon is in the kitchen making breakfast. He crosses to the couch, sees Penny sleeping there, looks lost. He is about to sit down on Penny when Leonard enters.",Sheldon,"Well then, it’s all settled, Christie will stay with Howard, Penny can go back to her apartment, and I’ll watch the last 24 minutes of Doctor Who, although at this point it’s more like Doctor Why Bother."
Series 01,Episode 07,The Dumpling Paradox,"The following morning. Sheldon is in the kitchen making breakfast. He crosses to the couch, sees Penny sleeping there, looks lost. He is about to sit down on Penny when Leonard enters.",Leonard,Sheldon you just can’t dictate…
Series 01,Episode 07,The Dumpling Paradox,"The following morning. Sheldon is in the kitchen making breakfast. He crosses to the couch, sees Penny sleeping there, looks lost. He is about to sit down on Penny when Leonard enters.",Sheldon,"No more talking, everybody go."
Series 01,Episode 07,The Dumpling Paradox,"The following morning. Sheldon is in the kitchen making breakfast. He crosses to the couch, sees Penny sleeping there, looks lost. He is about to sit down on Penny when Leonard enters.",Howard,"So, what do you say, you wanna repair to Castle Wolowitz?"
Series 01,Episode 07,The Dumpling Paradox,"The following morning. Sheldon is in the kitchen making breakfast. He crosses to the couch, sees Penny sleeping there, looks lost. He is about to sit down on Penny when Leonard enters.",Christie,"What is that, like a Mexican deli?"
Series 01,Episode 07,The Dumpling Paradox,"The following morning. Sheldon is in the kitchen making breakfast. He crosses to the couch, sees Penny sleeping there, looks lost. He is about to sit down on Penny when Leonard enters.",Howard,"I’m sorry, I should have mentioned this earlier, my last name is Wolowitz."
Series 01,Episode 07,The Dumpling Paradox,"The following morning. Sheldon is in the kitchen making breakfast. He crosses to the couch, sees Penny sleeping there, looks lost. He is about to sit down on Penny when Leonard enters.",Christie,"Oh, that’s so cool. My first Jew!"
Series 01,Episode 07,The Dumpling Paradox,"The following morning. Sheldon is in the kitchen making breakfast. He crosses to the couch, sees Penny sleeping there, looks lost. He is about to sit down on Penny when Leonard enters.",Sheldon,I imagine there aren’t many kosher corn-huskers.
Series 01,Episode 07,The Dumpling Paradox,"The following morning. Sheldon is in the kitchen making breakfast. He crosses to the couch, sees Penny sleeping there, looks lost. He is about to sit down on Penny when Leonard enters.",Christie,"But you’re still taking me shopping, right?"
Series 01,Episode 07,The Dumpling Paradox,"The following morning. Sheldon is in the kitchen making breakfast. He crosses to the couch, sees Penny sleeping there, looks lost. He is about to sit down on Penny when Leonard enters.",Howard,Anything you want.
Series 01,Episode 07,The Dumpling Paradox,"The following morning. Sheldon is in the kitchen making breakfast. He crosses to the couch, sees Penny sleeping there, looks lost. He is about to sit down on Penny when Leonard enters.",Christie,"Okay, I’ll go pack my stuff."
Series 01,Episode 07,The Dumpling Paradox,"The following morning. Sheldon is in the kitchen making breakfast. He crosses to the couch, sees Penny sleeping there, looks lost. He is about to sit down on Penny when Leonard enters.",Howard,When they perfect human cloning I’m going to order twelve of those.
Series 01,Episode 07,The Dumpling Paradox,"The following morning. Sheldon is in the kitchen making breakfast. He crosses to the couch, sees Penny sleeping there, looks lost. He is about to sit down on Penny when Leonard enters.",Leonard,"Howard, can’t you see she’s using you?"
Series 01,Episode 07,The Dumpling Paradox,"The following morning. Sheldon is in the kitchen making breakfast. He crosses to the couch, sees Penny sleeping there, looks lost. He is about to sit down on Penny when Leonard enters.",Howard,"Who cares, last night she pulled off her blouse and I wept!"
Series 01,Episode 07,The Dumpling Paradox,"The following morning. Sheldon is in the kitchen making breakfast. He crosses to the couch, sees Penny sleeping there, looks lost. He is about to sit down on Penny when Leonard enters.",Penny,"Look, Howard, I know her, okay, she’ll have sex with anyone as long as they keep buying her things."
Series 01,Episode 07,The Dumpling Paradox,"The following morning. Sheldon is in the kitchen making breakfast. He crosses to the couch, sees Penny sleeping there, looks lost. He is about to sit down on Penny when Leonard enters.",Howard,Really?
Series 01,Episode 07,The Dumpling Paradox,"The following morning. Sheldon is in the kitchen making breakfast. He crosses to the couch, sees Penny sleeping there, looks lost. He is about to sit down on Penny when Leonard enters.",Penny,Yeah.
Series 01,Episode 07,The Dumpling Paradox,"The following morning. Sheldon is in the kitchen making breakfast. He crosses to the couch, sees Penny sleeping there, looks lost. He is about to sit down on Penny when Leonard enters.",Howard,"Yay! If you’ll excuse me, I have some Bar-Mizvah bonds to cash."
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Sheldon,"I’m sorry, we cannot do this without Wolowitz."
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Leonard,We can’t order Chinese food without Wolowitz?
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Sheldon,"Let me walk you through it, our standard is, the steamed dumpling appetizer, General So’s chicken, beef with broccoli, shrimp with lobster sauce and vegetable lo-main. Do you see the problem?"
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Leonard,I see a problem.
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Sheldon,Our entire order is predicated on four dumplings and four entrees divided among four people.
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Leonard,"So, we’ll just order three entrees."
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Sheldon,"Fine, what do you want to eliminate, and who gets the extra dumpling."
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Raj,We could cut it into thirds.
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Sheldon,"Then it is no longer a dumpling, once you cut it open it is at best a very small open faced sandwich."
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Waiter,"Hi fellas. Oh, where’s your annoying little friend who thinks he speaks Mandarin?"
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Sheldon,"He’s putting his needs ahead of the collective good.(Pointing at waiter)Where he comes from, that’s punishable by death."
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Waiter,I come from Sacramento.
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Leonard,"Can we get an order of dumplings, but with three instead of four."
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Waiter,No substitutions.
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Leonard,"This isn’t a substitution, it’s a reduction."
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Waiter,"Okay, no reductions."
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Leonard,"Fine, bring us three orders of dumplings, that’s twelve, we’ll each have four."
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Raj,That works.
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Sheldon,"No, if we fill up on dumplings we’ll need to eliminate another entree."
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Waiter,No eliminations.
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Leonard,"If we have extra, we’ll just take the leftovers home."
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Sheldon,"And divide it how, I’m telling you we cannot do this without Wolowitz."
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Leonard,"Wolowitz is with his new girlfriend, if you had let me invite Penny then you would have had your fourth."
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Sheldon,"Have you seen Penny eat Chinese food, she uses a fork, and she double dips her egg rolls."
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Leonard,We don’t order egg rolls.
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Sheldon,"Exactly, but we’d have to if she was here."
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Raj,"Can we please make a decision, not only are there children starving in India, there’s an Indian starving right here."
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Leonard,"Here’s an idea, why don’t we just go out for Indian food."
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Sheldon,No.
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Raj,Uurgh.
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Waiter,"You are nice boys. Tell you what I’m going to do. I’m going to bring you the four dumplings. When I’m walking over to the table, maybe I get bumped, one of the dumplings falls to the floor, no-one has to know."
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Sheldon,I’ll know.
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Waiter,(wanders away cursing in Mandarin.)
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Raj,How about soup?
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Leonard,"Yeah, we can always divide soup."
Series 01,Episode 07,The Dumpling Paradox,A Chinese restaurant.,Sheldon,What about the won-tons?
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Penny(answering),"Oh, hey guys, what’s up?"
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Sheldon,It’s Halo night.
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Penny,Yeah. Okay. So?
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Leonard,"Well, with Wolowitz spending all of his time with your friend Christie,"
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Penny,She’s not my friend. Friends do not get their friends care bears all sweaty.
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Leonard,"Right, anyway, uh, with Wolowitz occupied elsewhere, we had something we wanted to ask you. Sheldon?"
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Sheldon,"Yes. Penny, we would very much appreciate it if you would be the fourth member of our Halo team. I don’t think I need to tell you what an honour this is."
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Penny,"Oh, that’s so sweet. But I’m going out dancing with a girlfriend."
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Sheldon,"You can’t go out, it’s Halo night."
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Penny,"Well, for Penny it’s dancing night."
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Sheldon,You go dancing every Wednesday.
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Penny,No.
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Sheldon,Then it’s not dancing night.
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Penny,"Look, why don’t I play with you guys tomorrow?"
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Sheldon,"Tonight is Halo night, it’s like talking to a wall."
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Penny,"Alright, now Sheldon, you and I are about to have a problem."
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Leonard,"Sheldon, remember, we role-played this."
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Sheldon,"Yes, but you didn’t portray her as completely irrational."
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Penny,"Alright fellas, I gotta go. Good luck."
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Leonard,Maybe we should have asked if we could go dancing with her and her girlfriend.
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Sheldon,"Okay, assuming we could dance, which we can’t, there are three of us and two of them."
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Leonard,So?
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Sheldon,"It’s the Chinese restaurant all over again. I assure you that cutting a dumpling in thirds is child’s play compared with three men, each attempting to dance with 67% of a woman."
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Leonard,"Aaah, for God’s sake, Sheldon, you are driving me crazy."
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Sheldon,"Your anger’s not with me, sir, but with basic mathematics."
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Leonard,"No, I’m pretty sure my anger’s with you."
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Raj,What’s happening to us? We’re falling apart.
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Leonard,Who are you calling?
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Sheldon,The only man who can restore any semblance of balance to our universe.
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Howard(voice),Hi this is Howard Wolowitz.
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Christie(voice),And this is Christie Van Der Bell.
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Howard(voice),We can’t get to the phone right now because we’re having sex.
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Christie(voice),You’re not going to put that on your message are you?
Series 01,Episode 07,The Dumpling Paradox,Outside Penny’s door. Leonard knocks.,Howard(voice),"No, I’m just kidding, I’ll re-record it.(beep)"
Series 01,Episode 07,The Dumpling Paradox,Outside Howard’s house.,Leonard,"Sheldon, think this through, you’re going to ask Howard to choose between sex and Halo."
Series 01,Episode 07,The Dumpling Paradox,Outside Howard’s house.,Sheldon,"No, I’m going to ask him to choose between sex and Halo 3. As far as I know, sex has not been upgraded to include high-def graphics and enhanced weapon systems."
Series 01,Episode 07,The Dumpling Paradox,Outside Howard’s house.,Leonard,"You’re right, all sex has is nudity, orgasms and human contact."
Series 01,Episode 07,The Dumpling Paradox,Outside Howard’s house.,Sheldon,My point.
Series 01,Episode 07,The Dumpling Paradox,Outside Howard’s house.,Christie(voice from within),"I’m just saying, you can take the damned plastic off the couch once in a while."
Series 01,Episode 07,The Dumpling Paradox,Outside Howard’s house.,Howard’s Mother(voice),"Why, so you and Howard can hump on it?"
Series 01,Episode 07,The Dumpling Paradox,Outside Howard’s house.,Howard(voice),"Ladies, ladies, I’m sure there’s a middle ground."
Series 01,Episode 07,The Dumpling Paradox,Outside Howard’s house.,Christie and Howard’s Mother together,Shut up Howard.
Series 01,Episode 07,The Dumpling Paradox,Outside Howard’s house.,Howard(voice),"You girl’s talk, I’m going to take my scooter out for a little spin."
Series 01,Episode 07,The Dumpling Paradox,Outside Howard’s house.,Christie(voice as Howard emerges through door),"Are you happy, you drove your own son out of the house."
Series 01,Episode 07,The Dumpling Paradox,Outside Howard’s house.,Howard’s Mother(voice),Why don’t you stop butting in where you don’t belong.
Series 01,Episode 07,The Dumpling Paradox,Outside Howard’s house.,Howard,What are you guys doing here?
Series 01,Episode 07,The Dumpling Paradox,Outside Howard’s house.,Sheldon,It’s Halo night.
Series 01,Episode 07,The Dumpling Paradox,Outside Howard’s house.,Howard’s Mother(voice),"He’s not a man, he’s a putz, and don’t you take that tone with me, you gold digger."
Series 01,Episode 07,The Dumpling Paradox,Outside Howard’s house.,Christie(voice),What did you call me?
Series 01,Episode 07,The Dumpling Paradox,Outside Howard’s house.,Howard’s Mother(voice),"You heard me, and I’ll tell you something else, you’re barking up the wrong tree, cos as long as you’re around, Howard is out of the will."
Series 01,Episode 07,The Dumpling Paradox,Outside Howard’s house.,Christie,"(voice): You know what, I got better offers, I’m out of here."
Series 01,Episode 07,The Dumpling Paradox,Outside Howard’s house.,Howard’s Mother(voice),"That’s right, go back to Babylon, you whore."
Series 01,Episode 07,The Dumpling Paradox,Outside Howard’s house.,Howard,"So, Halo night, huh?"
Series 01,Episode 07,The Dumpling Paradox,Outside Howard’s house.,Raj,I thought she was the whore of Omaha?
Series 01,Episode 07,The Dumpling Paradox,Outside Howard’s house.,Sheldon,Shhh!
Series 01,Episode 07,The Dumpling Paradox,"The apartment, Halo night.",Howard,"Sheldon, you got him in your sights, fire, he’s charging his plasma rifle."
Series 01,Episode 07,The Dumpling Paradox,"The apartment, Halo night.",Sheldon,"I can’t shoot now, I’m cloaking."
Series 01,Episode 07,The Dumpling Paradox,"The apartment, Halo night.",Leonard,"Now, Raj, kill Sheldon."
Series 01,Episode 07,The Dumpling Paradox,"The apartment, Halo night.",Raj,I can’t see him.
Series 01,Episode 07,The Dumpling Paradox,"The apartment, Halo night.",Sheldon,"That’s why the call it cloaking, dead man."
Series 01,Episode 07,The Dumpling Paradox,"The apartment, Halo night.",Leonard,Well then start throwing grenades.
Series 01,Episode 07,The Dumpling Paradox,"The apartment, Halo night.",Raj,I’m all out.
Series 01,Episode 07,The Dumpling Paradox,"The apartment, Halo night.",Penny(entering with three other sexy women),"Hi guys, my friends and I got tired of dancing, so we came over to have sex with you."
Series 01,Episode 07,The Dumpling Paradox,"The apartment, Halo night.",Leonard,"That will do, Raj, straight for the tank."
Series 01,Episode 07,The Dumpling Paradox,"The apartment, Halo night.",Sheldon,We said no tanks.
Series 01,Episode 07,The Dumpling Paradox,"The apartment, Halo night.",Raj,There are no rules in hell!
Series 01,Episode 07,The Dumpling Paradox,"The apartment, Halo night.",Howard,"Son of a bitch, medpack, I need a medpack!"
Series 01,Episode 07,The Dumpling Paradox,"The apartment, Halo night.",Penny,Told yah!(They leave).
Series 01,Episode 07,The Dumpling Paradox,"The apartment, Halo night.",Leonard,"There’s a sniper, use your rocket launcher."
Series 01,Episode 07,The Dumpling Paradox,"The apartment, Halo night.",Raj,"All I’ve got is a needler, and I’m all out of ammo."
Series 01,Episode 07,The Dumpling Paradox,"The apartment, Halo night.",Sheldon,And now you’re out of life. Why did you hit pause?
Series 01,Episode 07,The Dumpling Paradox,"The apartment, Halo night.",Leonard,I thought I heard something.
Series 01,Episode 07,The Dumpling Paradox,"The apartment, Halo night.",Raj,What?
Series 01,Episode 07,The Dumpling Paradox,"The apartment, Halo night.",Leonard,"No, never mind, alright, go."
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Sheldon,"Damn you, walletnook.com."
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Leonard,Problem?
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Sheldon,"The online description was completely misleading, they said eight slots plus removable ID, to any rational person that would mean room for nine cards, but they don’t tell you the removable ID takes up one slot, it’s a nightmare."
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Leonard,"Okay, now, do you really need the honorary Justice League of America membership card?"
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Sheldon,It’s been in every wallet I’ve owned since I was five.
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Leonard,Why?
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Sheldon,It says keep this on your person at all times.(Knock on door)It’s right here under Batman’s signature.
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,,Leonard opens door. Raj and Howard are outside. Raj is holding a laptop which is open. His parents are on the screen.
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Raj,And this is Leonard and Sheldon’s apartment.
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Howard,Guess whose parents just got broadband.
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Raj,"May I present, live from New Delhi, Dr and Mrs V. M. Koothrappali."
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Leonard,Hi.
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Dr Koothrappali,Lift up the camera. I’m looking at his crotch.
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Raj,Sorry papa.
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Dr Koothrappali,"Oh, there’s much better. Hi."
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Leonard,Hi!
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Raj,And over here is Sheldon.
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Sheldon,Hi.
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Raj,He lives with Leonard.
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Mrs Koothrappali,"Oh, that’s nice. Like Haroun and Tanweer."
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Raj,"No, no, not like Haroun and Tanweer."
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Mrs Koothrappali,"Such sweet young men, they just adopted the cutest little Punjabi baby."
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Leonard,"Yeah, we’re not like Haroun and Tanweer!"
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Dr Koothrappali,So are you boys academics like our son?
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Together,Yes.
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Dr Koothrappali,And your parents are comfortable with your limited earning potential?
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Together,Not at all.
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Raj,"Papa, please don’t start."
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Dr Koothrappali,"God, it’s just a question, he’s so sensitive."
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Raj,"Okay, that’s my life, that’s my friends, good to see you, say goodbye."
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Together,Bye!
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Dr Koothrappali,"Wait, wait. Before you go we have good news. Put the computer down and gather your friends."
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Raj,What is it papa.
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Dr Koothrappali,Friends.
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Howard(as they gather),"Is it just me, or does webchatting with your clothes on seem a little pointless."
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Mrs Koothrappali,"Rajesh, do you remember Lalita Gupta?"
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Raj,The little fat girl that used to kick me in the samosas and call me untouchable.
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Mrs Koothrappali,"Yes. Well, now she’s a dental student at USC, so we gave her your contact information."
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Raj,Why did you do that?
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Dr Koothrappali,You’re 26 years old Rajesh. We want grandchildren.
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Raj,"But Papa, I’m not supposed…"
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Mrs Koothrappali,Lalita’s parents approve the match.
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Dr Koothrappali,"If you decide on a spring wedding, we can avoid monsoon season."
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Raj,Spring wedding?
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Mrs Koothrappali,"It’s up to you dear, we don’t want to meddle."
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Raj,"If you don’t want to meddle, then why are you meddling."
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Sheldon,"If I may, your parents probably don’t consider this meddling, while arranged marriages are no longer the norm, Indian parents continue to have a greater than average involvement in their children’s lives."
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Raj,Why are you telling me about my own culture?
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Sheldon,You seemed confused.
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Raj,"Sorry, Mommy, Papa, but with all due respect I really can’t go through…"
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Mrs Koothrappali,"Sorry darling, we have to go. Doogie Howser is on. Grandma, it’s Doogie time! Bye bye."
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Dr Koothrappali,Bye bye.
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Raj,I don’t believe it.
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Howard,"Neither do I. Doogie Howser’s been off the air for like, twenty years."
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Leonard,"Actually, I read somewhere that it’s one of the most popular programmes in India."
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Sheldon,It might speak to a cultural aspiration to have one’s children enter the medical profession.
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Leonard,I bet you’re right.
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Howard,I bet they love Scrubs.
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Sheldon,What’s not to love?
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Raj,"Excuse me, hello? My parents are trying to marry me off to a total stranger, what am I going to do?"
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Sheldon,I suggest you go through with it.
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Raj,What?
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Sheldon,"Romantic love as the basis for marriage has only existed since the nineteenth century. Up until then, arranged marriages were the norm, and it served society quite well."
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Howard,It’s the entire premise of Fiddler on the Roof.
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Leonard,"I’m not a big fan of musicals, but I love that show."
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Howard,"Me too. Of course, it speaks to me culturally."
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Sheldon,"Understandable, but there’s a universality to that story which transcends ethnicity."
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Howard,Let’s not forget it’s got some really catchy tunes.
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,All,(various noises of agreement)
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Raj,"Okay, I know what I’m going to do."
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Leonard,What?
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Raj,Find new friends.
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Howard,So who wants to rent Fiddler?
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Sheldon,"No need, we have the special edition."
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,Leonard,"Well, maybe we are like Haroun and Tanweer."
Series 01,Episode 08,The Grasshopper Experiment,The Apartment.,,Credits sequence
Series 01,Episode 08,The Grasshopper Experiment,The apartment.,Sheldon(on phone),"This is Dr Sheldon Cooper. Yeah, I need to cancel my membership to the Planetarium. Yeah, well I’m sorry too, but there’s just no room for you in my wallet. Yeah, I understand, but it was between you and the Museum of Natural History and, frankly, you don’t have dinosaurs. Well I’ll miss you too, bye bye. Okay, I know you’re texting about me, and I’d really like you to stop."
Series 01,Episode 08,The Grasshopper Experiment,The apartment.,Raj(entering),"Oh dear, I am rightly and truly screwed."
Series 01,Episode 08,The Grasshopper Experiment,The apartment.,Leonard,"Hey, I thought you were finding new friends."
Series 01,Episode 08,The Grasshopper Experiment,The apartment.,Raj,"I’ve got some feelers out. In the meantime, listen to this."
Series 01,Episode 08,The Grasshopper Experiment,The apartment.,Lalita(voice from Raj’s phone),"Hi Rajesh, this is Lalita Gupta. Your mother gave my mother your phone number to give to me. So I’m calling you, and, ah… call me back. Bye."
Series 01,Episode 08,The Grasshopper Experiment,The apartment.,Raj,Can you believe how pushy she is?
Series 01,Episode 08,The Grasshopper Experiment,The apartment.,Leonard,So don’t call her.
Series 01,Episode 08,The Grasshopper Experiment,The apartment.,Raj,"If I don’t call her, I won’t hear the end of it from my parents."
Series 01,Episode 08,The Grasshopper Experiment,The apartment.,Leonard,So call her.
Series 01,Episode 08,The Grasshopper Experiment,The apartment.,Raj,"How can I call her, you know I can’t talk to women."
Series 01,Episode 08,The Grasshopper Experiment,The apartment.,Leonard,"I’m done, anybody else?"
Series 01,Episode 08,The Grasshopper Experiment,The apartment.,Howard,Give me the phone.
