Topic,Count,Name,Representation,Representative_Docs
60,27,60_drinking_drink_beverage_hot beverage,"['drinking', 'drink', 'beverage', 'hot beverage', 'hot', 'think ll', 'offer', 'people upset', 'tea', 'troubles']","['Did you offer him a hot beverage?', 'Did you offer him a hot beverage?', 'Leonard, social protocol states when a friend is upset, you offer them a hot beverage, such as tea.']"
61,26,61_bongos_sleep_followed_colorado boulevard,"['bongos', 'sleep', 'followed', 'colorado boulevard', 'make way', 'boulevard', 'high time', 'movie theatre', 'colorado', 'icee']","['It’s not about you. It’s about a poor immigrant from Pakistan trying to make his way in America by working the graveyard shift at the Colorado Boulevard Chevron.', 'Leonard no sleep while I play bongos. Bongo solo.', 'Leonard no sleep while I play bongos. Bongo solo.']"
62,26,62_university_air force_big deal_security,"['university', 'air force', 'big deal', 'security', 'll going', 'want just', 'upset upset', 'tea', 'upset', 'deal']","['That’s true. There’s the U.S. Air Force, U.S. Department of Defence, U.S. Navy, you and I are going to jail.', 'Tea is for when I’m upset. I’m not upset. The university’s forcing me to work with Kripke. I’m outraged.', 'Tea is for when I’m upset. I’m not upset. The university’s forcing me to work with Kripke. I’m outraged.']"
63,26,63_madame_curie_madame curie_drug,"['madame', 'curie', 'madame curie', 'drug', 'died', 'hint', 'descent', 'garden', 'contagious', 'runny']","['Hint, Madame Curie had her husband to help her.', 'Yeah, well, and you admit it, like a man. All you hear women say is, I’ll just have a salad. You know? Where’s my lip gloss? I think this element should be called radium. That last one was Madame Curie.', 'Yeah, well, and you admit it, like a man. All you hear women say is, I’ll just have a salad. You know? Where’s my lip gloss? I think this element should be called radium. That last one was Madame Curie.']"
64,25,64_ring_suggesting_proof_analytical,"['ring', 'suggesting', 'proof', 'analytical', 'caller', 'men room', 'didn hear', 'phone', 'lord', 'really didn']","['You mean my ring?', 'Did I misspeak about the ring?', 'I’ll stipulate to that if you give me the ring.']"
65,24,65_change_gonna make_zero_zero zero,"['change', 'gonna make', 'zero', 'zero zero', 'civil', 'hey did', 'good won', 'just fun', 'pasta', 'won']","['That is my spot. In an ever-changing world, it is a single point of consistency. If my life were expressed as a function on a four-dimensional Cartesian coordinate system, that spot at the moment I first sat on it would be zero-zero-zero-zero.', 'Excuse me. When I come back, just for fun, the subject will be alternative history. Specifically, how would the civil war have gone differently if Lincoln had been a robot sent from the future? Look at that, there’s even pasta left over.', 'Excuse me. When I come back, just for fun, the subject will be alternative history. Specifically, how would the civil war have gone differently if Lincoln had been a robot sent from the future? Look at that, there’s even pasta left over.']"
66,24,66_sunday_thursday_small_weekend,"['sunday', 'thursday', 'small', 'weekend', 'happen', 'friday', 'tuesday', 'soup plantation', 'reserved', 'plantation']","['Oh, Sunday’s the worst. Everybody’s leaving, most of the good panels are over, and the only T-shirts they have left are small and XXXXL.', 'Roommates agree that Friday nights shall be reserved for watching Joss Whedon’s brilliant new series Firefly.', 'Roommates agree that Friday nights shall be reserved for watching Joss Whedon’s brilliant new series Firefly.']"
67,24,67_keys_seats_key_leaves,"['keys', 'seats', 'key', 'leaves', 'wander', 'hidden', 'password', 'el', 'served', 'oh hardly']","['What kind of person leaves his keys in the car?', 'What kind of person leaves his keys in the car?', 'Keys! Keys! Keys!']"
68,24,68_doing_accomplish_doing said_think doing,"['doing', 'accomplish', 'doing said', 'think doing', 'worse', 'exactly', 'running', 'breakfast', 'bed', 'yeah exactly']","['What are you doing?', 'What are you doing?', 'What are you doing?']"
69,24,69_die_000_chemicals_think like,"['die', '000', 'chemicals', 'think like', 'think nice', 'research ve', 'anaesthesia', '300', 'indicated', 'surgery']","['Well, I think I have a nice 2009 AnaMantle HC. It’s usually indicated for acutely inflamed haemorrhoids, but it also goes nicely with non mucosal body parts.', 'Well, I’ve been doing some research and I’ve learned that one in 700,000 people die from general anaesthesia.', 'Well, I’ve been doing some research and I’ve learned that one in 700,000 people die from general anaesthesia.']"
70,24,70_saturday_bowels_cereal_lived,"['saturday', 'bowels', 'cereal', 'lived', 'bowl', '20', 'evacuate bowels', 'hot chocolate', 'doesn say', 'evacuate']","['Every Saturday since we have lived in this apartment, I have awakened at 6:15, poured myself a bowl of cereal….', 'Every Saturday since we have lived in this apartment, I have awakened at 6:15, poured myself a bowl of cereal, added a quarter cup of 2% milk, sat on this end of this couch, turned on BBC America and watched Doctor Who.', 'Every Saturday since we have lived in this apartment, I have awakened at 6:15, poured myself a bowl of cereal, added a quarter cup of 2% milk, sat on this end of this couch, turned on BBC America and watched Doctor Who.']"
71,23,71_bye_goodbye_shoo_gone,"['bye', 'goodbye', 'shoo', 'gone', 'gone gone', 'shoo shoo', 'good bye', 'end', 'sir', 'honey']","['Bye-bye', 'Bye.', 'Bye.']"
72,23,72_prom_associated_starting think_great great,"['prom', 'associated', 'starting think', 'great great', 've time', 'traditions', 'time time', 'think chance', 'yes ve', 'good job']","['Not at all. In fact, I have got something for just such an occasion. I was starting to think I might never get a chance to give it to you. Good job.', 'Yes. I’ve decided to embrace all of the traditions associated with prom, including spiking the punch.', 'Yes. I’ve decided to embrace all of the traditions associated with prom, including spiking the punch.']"
73,23,73_don understand_understand_question_telling,"['don understand', 'understand', 'question', 'telling', 'don ask', 'ask', 'kidding', 'shouldn', 'earth', 'asking']","['I don’t understand.', 'I don’t understand the question.', 'I don’t understand the question.']"
74,23,74_leonard penny_penny leonard_penny_kirk,"['leonard penny', 'penny leonard', 'penny', 'kirk', 'abandoning', 'howard bernadette', 'community college', 'ranking', 'calls question', 'leonard obviously']","[' Leonard and Penny. Leonard and Penny. Leonard and Penny.', ' Leonard and Penny! Leonard and Penny! Leonard and Penny!', ' Leonard and Penny. Leonard and Penny. Leonard and Penny.']"
75,23,75_spy_dumb_passing_eye,"['spy', 'dumb', 'passing', 'eye', 'cloaking', 'reads', 'aren afraid', 'eyes', 'begin', 'play game']","['Will you please play the game? I can’t spy with my little eye something passing right through us.', 'I’ll begin. Uh, I can’t spy with my little eye something passing right through us.', 'I’ll begin. Uh, I can’t spy with my little eye something passing right through us.']"
76,22,76_teaching_history_working_spent,"['teaching', 'history', 'working', 'spent', 'job', 'spent years', 'opening joke', 'decades', 'diagram', 'spent half']","['I don’t want my job back. I’ve spent the last three and a half years staring at greaseboards full of equations. Before that I spent four years working on my thesis. Before that I was in college, and before that, I was in the fifth grade. This is my first day off in decades, and I’m going to savour it.', 'I know what this is about. Given the professional standstill you’re at, you’re wondering if this is the appropriate time to abandon your research and focus on teaching. Yes. And if I may suggest, consider changing disciplines. Yeah, to the humanities, perhaps history. One of the advantages of teaching history is that you don’t have to create things, you know, you just have to remember stuff that happened and then parrot it back. You could have fun with that.', 'I know what this is about. Given the professional standstill you’re at, you’re wondering if this is the appropriate time to abandon your research and focus on teaching. Yes. And if I may suggest, consider changing disciplines. Yeah, to the humanities, perhaps history. One of the advantages of teaching history is that you don’t have to create things, you know, you just have to remember stuff that happened and then parrot it back. You could have fun with that.']"
77,22,77_oh okay_calm_worries_carrying,"['oh okay', 'calm', 'worries', 'carrying', 'legal', 'oh course', 'biochemical', 'doing research', 'body strength', 'upper body']","['No, that’s the least of our worries. I’ve been doing some research on addiction, both the biochemical and behavioural aspects, and I think there’s a problem with the current version of our lie.', 'Well, you’re my friends. You’ll be standing by my side, supporting me, feeding me legal precedents, and if you had the upper body strength, carrying me out on your shoulders when I’m victorious.', 'Well, you’re my friends. You’ll be standing by my side, supporting me, feeding me legal precedents, and if you had the upper body strength, carrying me out on your shoulders when I’m victorious.']"
78,22,78_oh dear_dear_dear lord_lord,"['oh dear', 'dear', 'dear lord', 'lord', 'killing', 'ruining', 'bleeding', 'oh', 'highly', 'oh oh']","['Oh, dear Lord, shush.', 'Oh, dear Lord!', 'Oh, dear Lord, shush.']"
79,22,79_hofstadter_leonard hofstadter_dr hofstadter_dr,"['hofstadter', 'leonard hofstadter', 'dr hofstadter', 'dr', 'happened', 'waited', 'actor', 'trek', 'star trek', '14 hours']","['What happened to the Leonard Hofstadter who waited in line with me for 14 hours to see the midnight premiere of Star Trek: Nemesis?', 'What happened to the Leonard Hofstadter who waited in line with me for 14 hours to see the midnight premiere of Star Trek: Nemesis?', 'Dr. Hofstadter.']"
80,22,80_picked_help_helpful_oh good,"['picked', 'help', 'helpful', 'oh good', 'favour', 'actually', 'helping', 'think ve', 'trouble', 'able']","['Excuse me, but I think we’ve both found that helpful at times.', 'Oh, good. You picked me, you picked me.', 'Oh, good. You picked me, you picked me.']"
81,22,81_laser_lasers_rocket_accidentally,"['laser', 'lasers', 'rocket', 'accidentally', 'helium', 'lights', 'hmmm', 'schematic', 'design', 'occur']","['No. Hmmm. What happens if you use argon lasers instead of helium neon?', 'Did the laser accidentally burn out your retinas?', 'Did the laser accidentally burn out your retinas?']"
82,22,82_party_sub_vacation_slash,"['party', 'sub', 'vacation', 'slash', 'watching game', 'honesty', 'don throw', 'don want', 'parties', 'know going']","['Well, I don’t want to go to a party.', 'Well, we’re only watching Game of Thrones. A party sub implies it’s a party.', 'Well, we’re only watching Game of Thrones. A party sub implies it’s a party.']"
83,22,83_date_dinfast_dinner_know did,"['date', 'dinfast', 'dinner', 'know did', 'mocking', 'peer', 'clock', 'isn know', 'unpleasant', 'nicely']","['All right, so technically it’s not a dinner date. I suppose you could call it a, uh, dinfast date. But if you did, you’d open yourself to peer-based mocking, such as, Hey, Leonard, how was your dinfast with Priya last night?', 'Do you think it’s a date?', 'Do you think it’s a date?']"
84,22,84_jealous_eyed_girlfriend_confidence,"['jealous', 'eyed', 'girlfriend', 'confidence', 'jumping', 'russell', 'monster', 'blame', 'situations', 'conclusion']","['You’re happy with who you are. You don’t get jealous of other people. Instead of being weighed down by ambition, you just float along like a dead body in a river.', 'Jealousy is an ugly green-eyed monster, not unlike the Hulk, who, by the way, also has a girlfriend. In this iteration, Jennifer Connelly, whom you may recall as the girlfriend of Russell Crowe in A Beautiful Mind, a feel-good romp if there ever was one.', 'Jealousy is an ugly green-eyed monster, not unlike the Hulk, who, by the way, also has a girlfriend. In this iteration, Jennifer Connelly, whom you may recall as the girlfriend of Russell Crowe in A Beautiful Mind, a feel-good romp if there ever was one.']"
85,22,85_did did_did_did oh_uh couldn,"['did did', 'did', 'did oh', 'uh couldn', 'did didn', 'oh drat', 'didn let', 'oh did', 'yes did', 'drat']","['No. No, they loved it. They, uh, couldn’t say enough nice things about it.', 'Oh, you did, did you? Oh, drat! Hoisted by my own spam filter.', 'Oh, you did, did you? Oh, drat! Hoisted by my own spam filter.']"
86,22,86_okay okay_okay_alright_check,"['okay okay', 'okay', 'alright', 'check', 'happening', 'great great', 'good good', 'great', 'second', 'good']","['Okay.', 'Okay.', 'Okay.']"
87,22,87_line_cut_people let_cut line,"['line', 'cut', 'people let', 'cut line', 'sort', 'places', 'cutting', 'save', 'understand confusion', 'golden']","['What if each of those people let someone cut?', 'But then each of those people let someone cut?', 'But then each of those people let someone cut?']"
88,21,88_klingon_boggle_play play_line,"['klingon', 'boggle', 'play play', 'line', 'word', 'play', 'bonus', 'touché', 'scratching', 'metaphor']","['Tuesday night we played Klingon boggle until one in the morning.', '…playing Klingon Boggle.', '…playing Klingon Boggle.']"
89,21,89_read_know know_know yeah_yes good,"['read', 'know know', 'know yeah', 'yes good', 'know sure', 'threw', 'yeah know', 'good news', 'brilliant', 'aware']","['Yes, that good news.', 'It’s brilliant. He needs to read it.', 'It’s brilliant. He needs to read it.']"
90,21,90_right right_right ll_right_ll right,"['right right', 'right ll', 'right', 'll right', 'got right', 'equally', 'awkward', 'right let', 'stupid', 'today right']","['All right, I’ll give you that one.', 'All right, I’ll give you that one.', 'It’s all right. I’ll see it again with you.']"
91,21,91_really_don believe_funny_believe,"['really', 'don believe', 'funny', 'believe', 'don', '', '', '', '', '']","['Really?', 'Really?', 'Really?']"
92,21,92_universe_early universe_early_quantum,"['universe', 'early universe', 'early', 'quantum', 'dark', 'energy', 'dark matter', 'theory', 'wave', 'movies']","['Who knows? I haven’t watched any scary movies recently. I’m no longer obsessing over why the predicted mass of the quantum vacuum has little effect on the expansion of the universe. And it’s been weeks since I took that accidental sip of Red Bull.', 'Look at these men. They’ve managed to win the top science prize in the world with no more understanding of the quantum underpinnings of the expansion of the early universe than God gave a goose. You should pay attention, Leonard. Someday this could be you up there.', 'Look at these men. They’ve managed to win the top science prize in the world with no more understanding of the quantum underpinnings of the expansion of the early universe than God gave a goose. You should pay attention, Leonard. Someday this could be you up there.']"
93,20,93_event_interesting_half way_retrieve,"['event', 'interesting', 'half way', 'retrieve', 'interesting thing', 'events', 'semi', 'rational', 'plane', 'link']","['You can’t talk, you’re paralyzed. I get right up in Santa’s big, fat face and say, well, well, well, jolly old Saint Nick, we meet again. Yeah, I believe the last time we spoke was in the Baybrook Mall in Galveston, Texas, when I was five years old, isn’t that right?', 'Event A. A beautiful woman stands naked in our shower. Event B. We drive half way across town to retrieve a television set from the aforementioned woman’s ex-boyfriend. Query, on what plane of existence is there even a semi-rational link between these events?', 'Event A. A beautiful woman stands naked in our shower. Event B. We drive half way across town to retrieve a television set from the aforementioned woman’s ex-boyfriend. Query, on what plane of existence is there even a semi-rational link between these events?']"
94,20,94_feel_heart_make jokes_pressure,"['feel', 'heart', 'make jokes', 'pressure', 'right place', 've told', 'doesn', 'feel way', 'thing don', 'think know']","['Your heart might be in the right place, but your head, chest and arms certainly aren’t.', 'You wouldn’t make jokes if you could feel the way I feel.', 'You wouldn’t make jokes if you could feel the way I feel.']"
95,20,95_shirt_gloves_latex_latex gloves,"['shirt', 'gloves', 'latex', 'latex gloves', 'toilet', 'think good', 'rubber gloves', 'rubber', 'point just', 'just think']","['Well, then why don’t you wear the rubber gloves I bought for you to do the dishes?', 'It’s not a big deal. We have latex gloves.', 'It’s not a big deal. We have latex gloves.']"
96,20,96_lactose_milk_lactose intolerance_intolerance,"['lactose', 'milk', 'lactose intolerance', 'intolerance', 'soy', 'half', 'drank', 'dairy', 'vision', 'hysterical']","['That’s okay. Lactose intolerance is nothing to be embarrassed about.', 'Yes, and I have a theory why. Because of your lactose intolerance, you switched over to soy milk. Soy contains estrogen-mimicking compounds. I think your morning Cocoa Puffs are turning you into a hysterical woman.', 'Yes, and I have a theory why. Because of your lactose intolerance, you switched over to soy milk. Soy contains estrogen-mimicking compounds. I think your morning Cocoa Puffs are turning you into a hysterical woman.']"
97,20,97_women_huh_paper_know cause,"['women', 'huh', 'paper', 'know cause', 'rain', 'parade', 'cuts', 'billion', 'percent', 'blonde']","['Some important new information has come to light. Women are the worst. I thought it was paper cuts, but I was wrong. No piece of paper ever cut me this deep.', 'Well, if we assume your looks are average, yeah, right off the bat, fifty percent of men on Earth are more attractive than you. That’s one point five billion handsome lads standing by, waiting to rain on your parade.', 'Well, if we assume your looks are average, yeah, right off the bat, fifty percent of men on Earth are more attractive than you. That’s one point five billion handsome lads standing by, waiting to rain on your parade.']"
98,20,98_flag_flags_fun flags_episode fun,"['flag', 'flags', 'fun flags', 'episode fun', 'fun', 'episode', 'effort', 'rampant', '45', 'cared']","['I posted the last episode of Fun with Flags hours ago, and not a single person cared enough to comment. All that effort for nothing.', 'I posted the last episode of Fun with Flags hours ago, and not a single person cared enough to comment. All that effort for nothing.', 'Now, today’s episode of Fun with Flags is not fun, but it is important. Flags: you gotta know how to hold ’em, you gotta know how to fold ’em. Let’s start by identifying the parts of our flag. This edge is the hoist, and it’s used to…']"
99,20,99_attack_ve ve_encounter_useless,"['attack', 've ve', 'encounter', 'useless', 'suffering', 'invoking', 'shh', 'level', 'awkward', 'hurt']","['It is a big whoop. It made almost all the work you’ve done since you’ve been here completely useless.', 'No, we’re not. We’re standing in the hallway, suffering through an awkward encounter.', 'No, we’re not. We’re standing in the hallway, suffering through an awkward encounter.']"
100,20,100_box_fight_battle_ostrich,"['box', 'fight', 'battle', 'ostrich', 'say don', 'battle ostrich', 'man man', 'ship', 'equals', 'countless']","['I think that’s incredibly sexist of you. I believe in a gender-blind society like in Star Trek, where women and men of all races and creeds work side by side as equals.', 'Not true. The fight or flight instinct is coded genetically. Instead of fleeing, he chose to fight barehanded against a brawny member of the weasel family. Who’s to say that I don’t share that flawed DNA?', 'Not true. The fight or flight instinct is coded genetically. Instead of fleeing, he chose to fight barehanded against a brawny member of the weasel family. Who’s to say that I don’t share that flawed DNA?']"
101,19,101_season_ended_going watch_watch,"['season', 'ended', 'going watch', 'watch', 'going start', 'starts', 'destroy', 'fault', 'toast', 'known']","['No. They can’t just cancel a show like Alphas. You know? They have to help the viewers let go. Firefly did a movie to wrap things up. Buffy the Vampire Slayer continued on as a comic book. Heroes gradually lowered the quality season by season till we were grateful it ended.', 'No, that’s the season two finale. That was quite the cliffhanger. I’m going to re-watch it before season three starts.', 'No, that’s the season two finale. That was quite the cliffhanger. I’m going to re-watch it before season three starts.']"
102,19,102_cat_cats_african_bored,"['cat', 'cats', 'african', 'bored', 'picture', 'clam', 'genetically', 'point don', 'sounded', 'sounded like']","['No. Despite what the name suggests, the civet cat is not a true cat. Now I’m done.', 'Yeah, I do. Then no matter how he responds, I am going to destroy him with a picture of a bored cat saying oh, really?', 'Yeah, I do. Then no matter how he responds, I am going to destroy him with a picture of a bored cat saying oh, really?']"
103,19,103_mustard_sauce_extra_flavour,"['mustard', 'sauce', 'extra', 'flavour', 'chitchat', 'freeze', 'dried', 'weeks ago', 'skip', 'nuts']","['Freeze-dried spicy mustard?', 'Is it that the glucosinolates which give mustard its flavour were evolved by the cabbage family as a chemical defence against caterpillars?', 'Is it that the glucosinolates which give mustard its flavour were evolved by the cabbage family as a chemical defence against caterpillars?']"
104,19,104_morning_apparently_department_test,"['morning', 'apparently', 'department', 'test', 'good know', 'assistant', 'number things', 'know yeah', 'hello uh', 'clock morning']","['Morning.', 'Good to know. Yeah, a few more helpful hints like that, you may find yourself on the Council of Ladies. Hello. I see. Uh, what time? Very well, then. Huh. That was the Human Resources Department at the university. Apparently, my assistant Alex has filed a complaint accusing me of inappropriate behaviour in the workplace.', 'Good to know. Yeah, a few more helpful hints like that, you may find yourself on the Council of Ladies. Hello. I see. Uh, what time? Very well, then. Huh. That was the Human Resources Department at the university. Apparently, my assistant Alex has filed a complaint accusing me of inappropriate behaviour in the workplace.']"
105,19,105_complain_problem_service_half hours,"['complain', 'problem', 'service', 'half hours', 'spent half', 'offers', 'works', 'spent', 'working', 'working working']","['So, that’s how this works? I complain, and then you complain, and no one offers any solutions?', 'I would advise the three of you that resistance is futile. I have endless patience. I once spent two-and-a-half hours on hold with Hewlett-Packard customer service just to complain about their customer service.', 'I would advise the three of you that resistance is futile. I have endless patience. I once spent two-and-a-half hours on hold with Hewlett-Packard customer service just to complain about their customer service.']"
106,19,106_don care_follow_care_okay tell,"['don care', 'follow', 'care', 'okay tell', 'think don', 'tell going', 'join', 'man don', 'yeah tell', 'cares']","['I still don’t care.', 'I don’t care.', 'I don’t care.']"
107,19,107_yes yes_defence_crazy_yes,"['yes yes', 'defence', 'crazy', 'yes', '', '', '', '', '', '']","['Crazy bastard?', 'But, now, but in my defence…', 'But, now, but in my defence…']"
108,18,108_mean_exactly mean_does mean_specific,"['mean', 'exactly mean', 'does mean', 'specific', 'talking', 'supposed', 'talking talking', 'know supposed', 'good sign', 'good know']","['What do you mean?', 'What do you mean?', 'What do you mean!?']"
109,18,109_hippies_worked_burn real_session,"['hippies', 'worked', 'burn real', 'session', 'notes', 'kill', 'string burn', 'rise', 'washington', 'cure']","['Well, actually, the risk of throat cutting is very low. On the other hand, severe string burn is a real and ever-Present danger.', 'When I’m lying comatose in a hospital relying on inferior minds to cure me, these jello cultures and my accompanying notes will give them a fighting chance.', 'When I’m lying comatose in a hospital relying on inferior minds to cure me, these jello cultures and my accompanying notes will give them a fighting chance.']"
110,18,110_minutes_cow_weeks ago_crisis,"['minutes', 'cow', 'weeks ago', 'crisis', 'seconds', 'weeks', 'danger', 'milk', 'minutes oh', 'longer']","['Five more minutes.', 'Yeah, that was five weeks ago. How much longer is he gonna milk that cow?', 'Yeah, that was five weeks ago. How much longer is he gonna milk that cow?']"
111,18,111_zero_zero zero_number_seven,"['zero', 'zero zero', 'number', 'seven', 'french fry', 'instance', 'fry', 'mirror', 'thirty', 'oddly']","['Everything is quantifiable. That French fry? A seven. Spider-Man? A nine. The number nine? Oddly, only a four.', 'Everything is quantifiable. That French fry? A seven. Spider-Man? A nine. The number nine? Oddly, only a four.', 'Chuck Norris wishes. In binary, 73 is a palindrome, one-zero-zero-one-zero-zero-one which backwards is one-zero-zero-one-zero-zero-one, exactly the same. All Chuck Norris backwards gets you is Sirron Kcuhc.']"
112,18,112_helium_noble_sixth_know said,"['helium', 'noble', 'sixth', 'know said', 'said know', 'gas', 'crime', 'said', 'federal', 'harvey']","['Forget helium. The real superfluid is the fruit punch in this mug. Reminds me of my daddy’s secret don’t tell mama juice.', 'I know what I said. I know what you said. I know what my mother said on March 5, 1992. What is the sixth noble gas?', 'I know what I said. I know what you said. I know what my mother said on March 5, 1992. What is the sixth noble gas?']"
113,18,113_challenge_fight_need challenge_run,"['challenge', 'fight', 'need challenge', 'run', 'accepted', 'run away', 'course don', 'swedish team', 'swedish', 'run risk']","['We don’t have that option, we’ve accepted the challenge. We can’t run away from a fight.', 'Gentlemen, I have figured out the perfect way for you to irritate me. I’d like you to be my intellectual sparring partners. From now on, when I make an assertion, I need you to challenge it.', 'Gentlemen, I have figured out the perfect way for you to irritate me. I’d like you to be my intellectual sparring partners. From now on, when I make an assertion, I need you to challenge it.']"
114,18,114_tell tell_tell_know don_don know,"['tell tell', 'tell', 'know don', 'don know', 'face know', 'tell don', 'say face', 'isn know', 'guess', 'know interesting']","['I can’t tell you.', 'I can’t tell you why I can’t tell you. So I guess there’s two things I can’t tell you.', 'I can’t tell you why I can’t tell you. So I guess there’s two things I can’t tell you.']"
115,17,115_strongly_surprisingly_pro_talking talking,"['strongly', 'surprisingly', 'pro', 'talking talking', 'went', 'talking', 'good good', 'lucky', 'good', 'know']","['Surprisingly well.', 'Strongly pro.', 'Strongly pro.']"
116,17,116_chess_piece_dimensional_person,"['chess', 'piece', 'dimensional', 'person', 'moves', 'keen', 'poisoned', 'got burned', 'somebody just', 'suited']","['For a man so good at predicting my moves, how come you stink at 3-D chess?', 'And a third person. It’s three-person chess. I must say, ever since you started having regular intercourse, your mind has lost its keen edge. You should reflect on that.', 'And a third person. It’s three-person chess. I must say, ever since you started having regular intercourse, your mind has lost its keen edge. You should reflect on that.']"
117,17,117_thank thank_thank_good luck_luck,"['thank thank', 'thank', 'good luck', 'luck', 'following', 'thanks', 'good', '', '', '']","['Good luck.', 'Doubleazinga! I do! Good luck following that.', 'Doubleazinga! I do! Good luck following that.']"
118,17,118_singing_music_hate_processing,"['singing', 'music', 'hate', 'processing', 'pressing', 'equal', 'dance', 'recommend', 'just fun', '000 people']","['Wait, no, that’s a false equivalency. More does not equal merry. If there were 2,000 people in this apartment right now, would we be celebrating? No, we’d be suffocating.', 'I would suggest something to the effect of, singing is neither an appropriate vocation nor avocation for you, and if you disagree, I’d recommend you have a CAT scan, to look for a tumour pressing on the cognitive processing centre of your brain.', 'I would suggest something to the effect of, singing is neither an appropriate vocation nor avocation for you, and if you disagree, I’d recommend you have a CAT scan, to look for a tumour pressing on the cognitive processing centre of your brain.']"
119,16,119_going going_happened_bitch_takes need,"['going going', 'happened', 'bitch', 'takes need', 'wrong wrong', '60 takes', 'going', 'pixels', 'dead pixels', '60']","['What happened?', 'Is it about me or the dead pixels?', '60 only takes me to here. I need to get to here.']"
120,16,120_right ll_impressed_far ve_ve gotten,"['right ll', 'impressed', 'far ve', 've gotten', 'shot', 'gotten', 'fun oh', 'right', 'nah', 'wrong right']","['You’re right, I’ll give him a shot.', 'That’s as far as I’ve gotten.', 'That’s as far as I’ve gotten.']"
121,16,121_communal_clothes_time ve_store,"['communal', 'clothes', 'time ve', 'store', 'did forget', 'refrigerator', 'bathroom schedule', 'hmm yes', 'given understand', 'shelf']","['Point taken. It has been some time since we’ve had a woman take her clothes off after which we didn’t want to rip our eyes out.', 'Hmm, yes, you did. Now, to review the following provisions are hereby activated. In the refrigerator, as opposed to us having two separate shelves and one communal shelf, the three of us now get individual shelves and the door becomes communal. Next, apartment vacuuming shall be increased from two to three times a week to accommodate the increased accumulation of dead skin cells. Third,the bathroom schedule. Now, I’m given to understand women have different needs, so, we’ll have to discuss that.', 'Hmm, yes, you did. Now, to review the following provisions are hereby activated. In the refrigerator, as opposed to us having two separate shelves and one communal shelf, the three of us now get individual shelves and the door becomes communal. Next, apartment vacuuming shall be increased from two to three times a week to accommodate the increased accumulation of dead skin cells. Third,the bathroom schedule. Now, I’m given to understand women have different needs, so, we’ll have to discuss that.']"
122,16,122_da_germans_comforting_family,"['da', 'germans', 'comforting', 'family', 'failed', 'hu', 'arises', 'just remember', 'hypothetical', 'term']","['Ta-da!', 'Ta-da. It’s short for da-da-da-da!', 'Ta-da. It’s short for da-da-da-da!']"
123,16,123_sword_axe_troll_meets,"['sword', 'axe', 'troll', 'meets', 'enchanted', 'quicksand', 'elegant', 'start', 'appeal', 'going start']","['Go north. You can’t go that way. Go west. A troll blocks your passage. Okay, fasten your seatbelts, kill troll. With what? With sword. You don’t have the sword. Good golly, it’s as if it’s actually happening to me.', 'I don’t know. If we’re going to start a fantasy sword collection, and I’ve long thought we should, is this really the sword to start with?', 'I don’t know. If we’re going to start a fantasy sword collection, and I’ve long thought we should, is this really the sword to start with?']"
124,16,124_string theory_string_theory_monopoles,"['string theory', 'string', 'theory', 'monopoles', 'magnetic', 'slow', 'moving', 'changed', 'confirm', 'promising']","['Yes, but the actual results are unsuccessful and I’ve already sent an e-mail to everyone at the university explaining that I have confirmed string theory and forever changed man’s understanding of the universe.', 'Of course not. I’m a theoretical physicist, a career I chose in no small part because it’s indoors, but if I’m able to detect slow-moving magnetic monopoles there, I will be the scientist to confirm string theory. People will write books about me. Third-graders will create macaroni-art dioramas depicting scenes from my life.', 'Of course not. I’m a theoretical physicist, a career I chose in no small part because it’s indoors, but if I’m able to detect slow-moving magnetic monopoles there, I will be the scientist to confirm string theory. People will write books about me. Third-graders will create macaroni-art dioramas depicting scenes from my life.']"
125,16,125_song_music_white_boy,"['song', 'music', 'white', 'boy', 'plays', 'bah', 'ask think', 'let ask', 'humming', 'like know']","['I feel like I know what song that is, but I can’t put my finger on it. My country, ’tis of thee. No.', 'Let me ask you this. Do you think this song is the music the white boy ultimately plays?', 'Let me ask you this. Do you think this song is the music the white boy ultimately plays?']"
126,16,126_chocolate_meemaw_chip_draw,"['chocolate', 'meemaw', 'chip', 'draw', 'butter', 'want guess', 'stick', 'glass', 'milk', 'calls moon']","['Lot of big talk from a man who can’t draw a chocolate chip cookie.', 'Hey, if you want someone to guess chocolate chip cookie, you draw a glass of milk next to it.', 'Hey, if you want someone to guess chocolate chip cookie, you draw a glass of milk next to it.']"
127,16,127_sit_desk chair_alright_chair,"['sit', 'desk chair', 'alright', 'chair', 'desk', 'cleaner', 'alright alright', 'point taken', 'll sit', 'just sit']","['You may want to sit down.', 'No! That’s where I sit!', 'No! That’s where I sit!']"
128,16,128_ahead_hang_insane_loser,"['ahead', 'hang', 'insane', 'loser', 'okay thanks', 'hang hang', 'hold hold', 'oh way', 'hold', 'noticed']","['That’s insane on the face of it. Come on.', 'That’s insane on the face of it. Come on.', 'You’re welcome. Good night to you, too. Oh, by the way, I was watching you sleep for a moment, and I noticed that your snoring seems to be worse when you’re on your back.']"
129,16,129_honest didn_deceit_tricking_really didn,"['honest didn', 'deceit', 'tricking', 'really didn', 'didn', 'didn know', 'honest', 'knew', 'didn really', 'didn didn']","['No, of course not. No, I used trickery and deceit.', 'To be honest, I didn’t know you were here.', 'To be honest, I didn’t know you were here.']"
